timestamp_utc,mode,metric,value,station
2026-06-27T17:48:10.890912+00:00,check,empty_docks,1,"Tooley Street, Bermondsey"
2026-06-27T23:40:29.342823+00:00,check,empty_docks,15,"Tooley Street, Bermondsey"
2026-06-28T09:29:56.988836+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-06-28T09:35:56.587532+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-06-28T09:36:29.883774+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-06-28T20:12:29.420931+00:00,status,empty_docks,4,"Tooley Street, Bermondsey"
2026-06-28T20:12:29.421025+00:00,status,available_bikes,16,"Tooley Street, Bermondsey"
2026-06-28T20:18:47.086928+00:00,status,empty_docks,2,"Tooley Street, Bermondsey"
2026-06-28T20:18:47.087071+00:00,status,available_bikes,18,"Tooley Street, Bermondsey"
2026-06-29T18:53:34.174946+00:00,status,empty_docks,21,"Tooley Street, Bermondsey"
2026-06-29T18:53:34.175027+00:00,status,available_bikes,2,"Tooley Street, Bermondsey"
2026-06-29T21:55:54.568444+00:00,status,empty_docks,21,"Tooley Street, Bermondsey"
2026-06-29T21:55:54.568531+00:00,status,available_bikes,2,"Tooley Street, Bermondsey"
2026-06-29T22:04:23.427309+00:00,status,empty_docks,21,"Tooley Street, Bermondsey"
2026-06-29T22:04:23.427389+00:00,status,available_bikes,2,"Tooley Street, Bermondsey"
2026-06-30T06:45:36.392473+00:00,summary,empty_docks,16,"Tooley Street, Bermondsey"
2026-06-30T07:01:07.726655+00:00,check,empty_docks,14,"Tooley Street, Bermondsey"
2026-06-30T07:05:29.799426+00:00,check,empty_docks,14,"Tooley Street, Bermondsey"
2026-06-30T07:10:45.190239+00:00,check,empty_docks,15,"Tooley Street, Bermondsey"
2026-06-30T07:15:40.945665+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-06-30T07:20:45.917485+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-06-30T07:25:32.372232+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-06-30T07:30:55.201005+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-06-30T07:35:31.530661+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-06-30T07:36:33.911163+00:00,status,empty_docks,11,"Tooley Street, Bermondsey"
2026-06-30T07:36:33.911264+00:00,status,available_bikes,11,"Tooley Street, Bermondsey"
2026-06-30T07:37:01.206396+00:00,status,empty_docks,12,"Tooley Street, Bermondsey"
2026-06-30T07:37:01.206483+00:00,status,available_bikes,10,"Tooley Street, Bermondsey"
2026-06-30T07:40:52.296943+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-06-30T16:15:37.510846+00:00,evening_summary,available_bikes,16,"Tooley Street, Bermondsey"
2026-06-30T16:31:02.757924+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-06-30T16:35:32.892991+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
2026-06-30T16:40:47.023749+00:00,evening_second_summary,available_bikes,7,"Tooley Street, Bermondsey"
2026-06-30T16:45:35.570420+00:00,evening_check,available_bikes,5,"Tooley Street, Bermondsey"
2026-06-30T16:50:48.087914+00:00,evening_check,available_bikes,1,"Tooley Street, Bermondsey"
2026-06-30T16:55:35.001184+00:00,evening_check,available_bikes,0,"Tooley Street, Bermondsey"
2026-07-01T06:45:37.837457+00:00,summary,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-01T07:01:09.302608+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-01T07:05:29.123698+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-01T07:10:48.153083+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-01T07:15:38.198125+00:00,check,empty_docks,6,"Tooley Street, Bermondsey"
2026-07-01T07:20:51.494970+00:00,morning_bikes,available_bikes,13,"Tooley Street, Bermondsey"
2026-07-01T07:25:36.406425+00:00,check,empty_docks,2,"Tooley Street, Bermondsey"
2026-07-01T07:30:58.984077+00:00,check,empty_docks,2,"Tooley Street, Bermondsey"
2026-07-01T07:35:32.871158+00:00,check,empty_docks,3,"Tooley Street, Bermondsey"
2026-07-01T07:40:47.635824+00:00,check,empty_docks,3,"Tooley Street, Bermondsey"
2026-07-01T12:16:46.050336+00:00,status,empty_docks,1,"Tooley Street, Bermondsey"
2026-07-01T12:16:46.050443+00:00,status,available_bikes,16,"Tooley Street, Bermondsey"
