name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Alex Scott,MID,Bournemouth,77,1,6,16,False,2024-08-17T14:00:00Z,50,4339,62,1,2,0,0,0,1,0,0,11,0,0,0,0.00,0.01,0.01,1.02,,,,,22.8,12.8,0.0,3.6,1.6
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,427,1,6,3,True,2024-08-17T14:00:00Z,45,33324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.2
Tomiyasu Takehiro,DEF,Arsenal,22,1,2,20,True,2024-08-17T14:00:00Z,50,8462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Malcolm Ebiowei,MID,Crystal Palace,197,1,8,4,False,2024-08-18T13:00:00Z,45,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Ben Brereton Díaz,MID,Southampton,584,1,5,15,False,2024-08-17T14:00:00Z,55,66244,70,1,1,0,0,0,1,0,0,-2,1,0,0,0.30,0.02,0.32,0.25,,,,,2.6,14.0,16.0,3.3,1.0
Pau Torres,DEF,Aston Villa,52,1,7,19,False,2024-08-17T16:30:00Z,45,122710,90,1,2,0,0,0,1,0,0,17,0,0,0,0.00,0.01,0.01,2.46,,,,,29.2,1.9,0.0,3.1,1.9
Joel Ward,DEF,Crystal Palace,215,1,8,4,False,2024-08-18T13:00:00Z,45,12469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.9
Will Lankshear,FWD,Spurs,609,1,10,11,False,2024-08-19T19:00:00Z,45,17747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.5
Hwang Hee-chan,MID,Wolves,550,1,2,1,False,2024-08-17T14:00:00Z,65,83019,90,1,2,0,0,0,2,0,0,14,0,0,0,0.00,0.11,0.11,1.24,,,,,6.0,16.3,4.0,2.6,1.3
Mikey Moore,MID,Spurs,610,1,10,11,False,2024-08-19T19:00:00Z,45,8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.5
Hákon Valdimarsson,GK,Brentford,109,1,8,7,True,2024-08-18T13:00:00Z,40,372148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Alex Paulsen,GK,Bournemouth,75,1,6,16,False,2024-08-17T14:00:00Z,40,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
João Victor Gomes da Silva,MID,Wolves,553,1,2,1,False,2024-08-17T14:00:00Z,50,11511,83,1,1,0,0,0,2,0,0,11,1,0,0,0.00,0.02,0.02,1.24,,,,,8.6,3.2,0.0,1.2,0.6
Cole Palmer,MID,Chelsea,182,1,9,13,True,2024-08-18T15:30:00Z,105,3210033,90,1,2,0,0,0,2,0,0,18,0,0,0,0.07,0.19,0.26,0.77,,,,,20.4,37.8,10.0,6.8,2.4
Mitoma Kaoru,MID,Brighton,136,1,3,8,False,2024-08-17T14:00:00Z,65,164023,88,1,8,1,0,1,0,0,0,27,0,0,0,0.97,0.04,1.01,0.45,,,,,48.2,4.1,80.0,13.2,2.3
Boubakary Soumaré,MID,Leicester,285,1,10,18,True,2024-08-19T19:00:00Z,45,17951,11,0,1,0,0,0,0,0,0,3,0,0,0,0.00,0.00,0.00,0.25,,,,,0.2,0.3,0.0,0.1,0.5
Chris Wood,FWD,Nott'm Forest,447,1,6,3,True,2024-08-17T14:00:00Z,60,482451,71,1,9,1,0,1,0,0,3,30,0,0,0,0.71,0.02,0.73,0.63,,,,,32.2,5.7,21.0,5.9,2.0
Joe Worrall,DEF,Nott'm Forest,448,1,6,3,True,2024-08-17T14:00:00Z,45,5973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.9
Jeffrey Schlupp,MID,Crystal Palace,214,1,8,4,False,2024-08-18T13:00:00Z,50,9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.6
Milos Kerkez,DEF,Bournemouth,70,1,6,16,False,2024-08-17T14:00:00Z,45,40065,90,1,1,0,0,0,1,0,0,5,1,0,0,0.00,0.01,0.01,1.30,,,,,12.0,12.7,2.0,2.7,1.9
Adrian Mazilu,MID,Brighton,133,1,3,8,False,2024-08-17T14:00:00Z,45,3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Jason Steele,GK,Brighton,142,1,3,8,False,2024-08-17T14:00:00Z,45,49675,90,1,7,0,0,1,0,1,1,31,0,0,0,0.00,0.00,0.00,0.45,,,,,18.6,0.0,0.0,1.9,2.2
Arijanet Muric,GK,Ipswich,568,1,4,12,True,2024-08-17T11:30:00Z,45,39121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.2
Carl Rushworth,GK,Brighton,615,1,3,8,False,2024-08-17T14:00:00Z,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Ibrahim Sangaré,MID,Nott'm Forest,442,1,6,3,True,2024-08-17T14:00:00Z,45,185141,90,1,2,0,0,0,1,0,0,13,0,0,0,0.00,0.01,0.01,1.22,,,,,14.8,2.5,4.0,2.1,1.0
Hannibal Mejbri,MID,Man Utd,373,1,1,9,True,2024-08-16T19:00:00Z,45,11598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Brandon Austin,GK,Spurs,479,1,10,11,False,2024-08-19T19:00:00Z,40,33843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.5
Conor Coady,DEF,Leicester,288,1,10,18,True,2024-08-19T19:00:00Z,40,24580,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Wes Foderingham,GK,West Ham,522,1,7,2,True,2024-08-17T16:30:00Z,45,14365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.2
Armando Broja,FWD,Chelsea,156,1,9,13,True,2024-08-18T15:30:00Z,55,7671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.7
Adam Webster,DEF,Brighton,147,1,3,8,False,2024-08-17T14:00:00Z,45,9097,14,0,1,0,0,0,0,0,0,9,0,0,0,0.00,0.02,0.02,0.00,,,,,5.6,0.7,2.0,0.8,1.9
Thomas Partey,MID,Arsenal,20,1,2,20,True,2024-08-17T14:00:00Z,50,6975,90,1,3,0,0,1,0,0,0,16,0,0,0,0.06,0.06,0.12,0.47,,,,,14.4,43.6,1.0,5.9,2.6
Harry Wilson,MID,Fulham,259,1,1,14,False,2024-08-16T19:00:00Z,55,16297,12,0,1,0,0,0,1,0,0,4,0,0,0,0.00,0.01,0.01,0.87,,,,,0.2,3.9,4.0,0.8,2.0
Kasey McAteer,MID,Leicester,299,1,10,18,True,2024-08-19T19:00:00Z,50,3846,4,0,1,0,0,0,0,0,0,3,0,0,0,0.02,0.00,0.02,0.19,,,,,4.2,0.1,4.0,0.8,1.1
Curtis Jones,MID,Liverpool,324,1,4,10,False,2024-08-17T11:30:00Z,55,9756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,3.0
Wes Burns,MID,Ipswich,264,1,4,12,True,2024-08-17T11:30:00Z,50,8811,56,1,0,0,0,0,0,0,0,-2,1,0,0,0.00,0.00,0.00,0.46,,,,,0.0,1.8,2.0,0.0,0.6
Yunus Emre Konak,MID,Brentford,97,1,8,7,True,2024-08-18T13:00:00Z,45,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Max Kilman,DEF,West Ham,524,1,7,2,True,2024-08-17T16:30:00Z,45,73980,90,1,1,0,0,0,2,0,0,9,0,0,0,0.00,0.07,0.07,2.03,,,,,31.2,11.3,2.0,4.5,1.9
Deniz Undav,FWD,Brighton,143,1,3,8,False,2024-08-17T14:00:00Z,55,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Alex Murphy,DEF,Newcastle,390,1,5,17,True,2024-08-17T14:00:00Z,40,69252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.0
George Edmundson,DEF,Ipswich,269,1,4,12,True,2024-08-17T11:30:00Z,40,15461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,571,1,9,6,False,2024-08-18T15:30:00Z,65,37980,45,1,1,0,0,0,0,0,0,8,0,0,0,0.00,0.16,0.16,0.30,,,,,11.6,36.4,4.0,5.2,3.3
Emerson Palmieri dos Santos,DEF,West Ham,520,1,7,2,True,2024-08-17T16:30:00Z,45,60284,90,1,1,0,0,0,2,0,0,5,0,0,0,0.04,0.02,0.06,2.03,,,,,6.6,2.5,17.0,2.6,1.9
Abdoulaye Doucouré,MID,Everton,217,1,3,5,True,2024-08-17T14:00:00Z,55,46194,62,1,2,0,0,0,2,0,0,2,0,0,0,0.14,0.01,0.15,1.13,,,,,2.4,3.2,5.0,1.1,2.0
José Malheiro de Sá,GK,Wolves,554,1,2,1,False,2024-08-17T14:00:00Z,45,205429,90,1,2,0,0,0,2,4,0,10,0,0,0,0.00,0.00,0.00,1.24,,,,,31.2,0.0,0.0,3.1,1.2
Alexander Isak,FWD,Newcastle,401,1,5,17,True,2024-08-17T14:00:00Z,85,5199017,90,1,5,0,1,1,0,0,0,22,0,0,0,0.00,0.08,0.08,1.77,,,,,25.6,10.8,6.0,4.2,3.6
Yves Bissouma,MID,Spurs,482,1,10,11,False,2024-08-19T19:00:00Z,50,10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Conor Gallagher,MID,Chelsea,169,1,9,13,True,2024-08-18T15:30:00Z,60,80385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.2
Philip Billing,MID,Bournemouth,76,1,6,16,False,2024-08-17T14:00:00Z,50,6497,6,0,1,0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.26,,,,,2.0,0.0,2.0,0.4,1.6
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,548,1,2,1,False,2024-08-17T14:00:00Z,55,7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Brajan Gruda,MID,Brighton,595,1,3,8,False,2024-08-17T14:00:00Z,55,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.0
Rodrigo 'Rodri' Hernandez,MID,Man City,360,1,9,6,False,2024-08-18T15:30:00Z,65,443257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Đorđe Petrović,GK,Chelsea,183,1,9,13,True,2024-08-18T15:30:00Z,45,70701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.2
Craig Dawson,DEF,Wolves,542,1,2,1,False,2024-08-17T14:00:00Z,45,16382,6,0,1,0,0,0,0,0,0,2,0,0,0,0.00,0.00,0.00,0.00,,,,,2.4,0.0,0.0,0.2,0.9
Jordan Ayew,MID,Crystal Palace,192,1,8,4,False,2024-08-18T13:00:00Z,55,40324,20,0,0,0,0,0,1,0,0,-5,1,0,0,0.46,0.01,0.47,0.95,,,,,0.2,12.8,7.0,2.0,2.0
Marcos Senesi,DEF,Bournemouth,79,1,6,16,False,2024-08-17T14:00:00Z,50,91548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.4
Kiernan Dewsbury-Hall,MID,Chelsea,166,1,9,13,True,2024-08-18T15:30:00Z,60,23669,24,0,1,0,0,0,1,0,0,4,0,0,0,0.00,0.01,0.01,0.11,,,,,2.0,1.6,0.0,0.4,1.2
Kaine Kesler-Hayden,DEF,Aston Villa,43,1,7,19,False,2024-08-17T16:30:00Z,40,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
João Cavaco Cancelo,DEF,Man City,353,1,9,6,False,2024-08-18T15:30:00Z,55,76789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,3.8
Maxwel Cornet,MID,West Ham,515,1,7,2,True,2024-08-17T16:30:00Z,50,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.6
Jefferson Lerma Solís,MID,Crystal Palace,206,1,8,4,False,2024-08-18T13:00:00Z,50,5376,16,0,1,0,0,0,1,0,0,7,0,0,0,0.00,0.32,0.32,0.95,,,,,3.4,14.4,0.0,1.8,1.6
Jannik Vestergaard,DEF,Leicester,307,1,10,18,True,2024-08-19T19:00:00Z,40,145212,90,1,2,0,0,0,1,0,0,6,0,0,0,0.00,0.00,0.00,1.23,,,,,15.8,0.3,0.0,1.6,0.5
Luke Thomas,DEF,Leicester,305,1,10,18,True,2024-08-19T19:00:00Z,40,51407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.5
Bruno Borges Fernandes,MID,Man Utd,366,1,1,9,True,2024-08-16T19:00:00Z,85,1728175,90,1,3,0,0,1,0,0,0,10,0,0,0,1.19,0.03,1.22,0.44,,,,,15.0,8.3,49.0,7.2,2.9
Adam Smith,DEF,Bournemouth,81,1,6,16,False,2024-08-17T14:00:00Z,45,14466,62,1,2,0,0,0,1,0,0,8,0,0,0,0.00,0.01,0.01,1.02,,,,,7.8,4.5,0.0,1.2,1.9
Miodrag Pivaš,DEF,Newcastle,574,1,5,17,True,2024-08-17T14:00:00Z,40,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.0
Billy Gilmour,MID,Brighton,124,1,3,8,False,2024-08-17T14:00:00Z,50,14848,8,0,1,0,0,0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.00,,,,,0.4,7.6,0.0,0.8,1.6
Rasmus Højlund,FWD,Man Utd,375,1,1,9,True,2024-08-16T19:00:00Z,70,63276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Callum Wilson,FWD,Newcastle,421,1,5,17,True,2024-08-17T14:00:00Z,70,8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Crysencio Summerville,MID,West Ham,587,1,7,2,True,2024-08-17T16:30:00Z,60,86458,17,0,1,0,0,0,1,0,0,9,0,0,0,0.00,0.17,0.17,0.27,,,,,8.2,29.4,6.0,4.4,2.2
Jesurun Rak-Sakyi,MID,Crystal Palace,213,1,8,4,False,2024-08-18T13:00:00Z,45,20807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,1.0
Oliver Skipp,MID,Spurs,501,1,10,11,False,2024-08-19T19:00:00Z,50,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,2.1
Tomáš Souček,MID,West Ham,530,1,7,2,True,2024-08-17T16:30:00Z,50,210697,90,1,5,0,1,0,2,0,0,8,0,0,0,1.10,0.12,1.22,2.03,,,,,3.4,20.8,35.0,5.9,1.6
Taylor Harwood-Bellis,DEF,Southampton,461,1,5,15,False,2024-08-17T14:00:00Z,40,934150,90,1,1,0,0,0,1,0,0,6,1,0,0,0.00,0.02,0.02,0.25,,,,,17.6,14.0,6.0,3.8,0.0
Alphonse Areola,GK,West Ham,513,1,7,2,True,2024-08-17T16:30:00Z,45,858916,90,1,1,0,0,0,2,1,0,5,0,0,0,0.00,0.00,0.00,2.03,,,,,10.0,0.0,0.0,1.0,2.2
Lisandro Martínez,DEF,Man Utd,380,1,1,9,True,2024-08-16T19:00:00Z,45,403535,90,1,7,0,0,1,0,0,1,26,0,0,0,0.00,0.02,0.02,0.44,,,,,19.4,11.9,0.0,3.1,1.9
Richarlison de Andrade,FWD,Spurs,497,1,10,11,False,2024-08-19T19:00:00Z,70,94269,1,0,1,0,0,0,0,0,0,-1,0,0,0,0.19,0.00,0.19,0.06,,,,,0.0,1.0,7.0,0.7,2.7
Joško Gvardiol,DEF,Man City,350,1,9,6,False,2024-08-18T15:30:00Z,60,2793191,90,1,7,0,0,1,0,0,1,30,0,0,0,0.03,0.02,0.05,1.01,,,,,23.2,3.3,5.0,3.2,4.2
Harry Clarke,DEF,Ipswich,266,1,4,12,True,2024-08-17T11:30:00Z,40,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
