name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Reinildo Mandava,DEF,Sunderland,541,1,5,19,True,2025-08-16T14:00:00Z,40,677026,0,0,0,90,1,6,0,0,1,0,0,0,27,0,0,0,0.00,0.00,0.00,0.56,8,6,3,2,13.6,2.5,0.0,1.6,0.5
Lewis Dobbin,MID,Aston Villa,57,1,2,15,True,2025-08-16T11:30:00Z,50,4994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Ryan Christie,MID,Bournemouth,87,1,1,12,False,2025-08-15T19:00:00Z,50,10562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zeki Amdouni,FWD,Burnley,216,1,6,18,False,2025-08-16T14:00:00Z,50,6453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lucas Tolentino Coelho de Lima,MID,West Ham,612,1,5,17,False,2025-08-16T14:00:00Z,60,110926,0,0,0,90,1,2,0,0,0,3,0,0,11,0,0,0,0.00,0.08,0.08,0.68,6,0,5,1,5.8,14.2,4.0,2.4,2.6
Jorrel Hato,DEF,Chelsea,672,1,8,8,True,2025-08-17T13:00:00Z,50,29623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,3.1
Myles Peart-Harris,MID,Brentford,133,1,4,16,False,2025-08-17T13:00:00Z,45,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Ben Gannon-Doak,MID,Liverpool,391,1,1,4,True,2025-08-15T19:00:00Z,50,4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Bashir Humphreys,DEF,Burnley,193,1,6,18,False,2025-08-16T14:00:00Z,40,6171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.1
Romain Faivre,MID,Bournemouth,92,1,1,12,False,2025-08-15T19:00:00Z,45,18512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Enock Agyei,MID,Burnley,203,1,6,18,False,2025-08-16T14:00:00Z,50,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Callum Bates,MID,Everton,306,1,10,11,False,2025-08-18T19:00:00Z,45,8013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.5
Harry Tyrer,GK,Everton,289,1,10,11,False,2025-08-18T19:00:00Z,40,11717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.5
Etienne Green,GK,Burnley,184,1,6,18,False,2025-08-16T14:00:00Z,40,40049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Destiny Udogie,DEF,Spurs,574,1,6,3,True,2025-08-16T14:00:00Z,45,87334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Simon Moore,GK,Sunderland,529,1,5,19,True,2025-08-16T14:00:00Z,40,47851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Ben Winterburn,MID,Bournemouth,96,1,1,12,False,2025-08-15T19:00:00Z,45,7035,0,0,0,6,0,1,0,0,0,2,0,0,3,0,0,0,0.00,0.00,0.00,0.31,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Mikey Moore,MID,Spurs,592,1,6,3,True,2025-08-16T14:00:00Z,50,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Pape Matar Sarr,MID,Spurs,593,1,6,3,True,2025-08-16T14:00:00Z,50,267148,0,0,0,90,1,6,0,1,1,0,0,0,29,0,0,0,0.00,0.22,0.22,0.94,10,4,4,2,33.2,18.7,2.0,5.4,2.0
Hákon Rafn Valdimarsson,GK,Brentford,105,1,4,16,False,2025-08-17T13:00:00Z,40,101164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Toby Collyer,MID,Man Utd,460,1,9,1,True,2025-08-17T15:30:00Z,45,11142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Marcos Senesi Barón,DEF,Bournemouth,72,1,1,12,False,2025-08-15T19:00:00Z,45,66685,0,0,0,90,1,2,0,0,0,4,0,0,1,0,0,0,0.00,0.05,0.05,2.21,15,12,2,3,26.6,14.6,2.0,4.3,0.9
Tyler Morton,MID,Liverpool,395,1,1,4,True,2025-08-15T19:00:00Z,45,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Alexis Mac Allister,MID,Liverpool,386,1,1,4,True,2025-08-15T19:00:00Z,65,150572,0,0,0,71,1,5,0,1,0,1,0,0,27,0,0,0,0.03,0.02,0.05,1.49,6,1,2,3,27.4,15.2,11.0,5.4,3.2
André Trindade da Costa Neto,MID,Wolves,643,1,7,13,True,2025-08-16T16:30:00Z,55,6500,0,0,0,71,1,4,0,0,0,3,0,0,16,0,0,0,0.00,0.01,0.01,2.22,15,3,8,4,15.6,1.7,0.0,1.7,1.5
Harrison Ashby,DEF,Newcastle,482,1,2,2,False,2025-08-16T11:30:00Z,40,12407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.5
Samuel Amissah,DEF,Fulham,323,1,3,6,False,2025-08-16T14:00:00Z,40,15548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
Luís Hemir Silva Semedo,FWD,Sunderland,563,1,5,19,True,2025-08-16T14:00:00Z,45,17649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.5
Adama Traoré Diarra,MID,Fulham,326,1,3,6,False,2025-08-16T14:00:00Z,55,31362,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.43,0,0,0,0,0.0,0.8,0.0,0.0,2.0
Yasin Ayari,MID,Brighton,166,1,3,10,True,2025-08-16T14:00:00Z,50,20119,0,0,0,90,1,3,0,0,0,1,0,1,20,0,0,0,0.00,0.12,0.12,0.76,10,3,6,1,7.2,3.2,2.0,1.2,1.5
Mateo Kovačić,MID,Man City,422,1,7,20,False,2025-08-16T16:30:00Z,60,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Thierno Barry,FWD,Everton,310,1,10,11,False,2025-08-18T19:00:00Z,60,70912,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0.00,0.00,0.00,0.20,0,0,0,0,0.0,1.0,2.0,0.3,2.5
Ollie Scarles,DEF,West Ham,608,1,5,17,False,2025-08-16T14:00:00Z,45,3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,2.4
Rico Lewis,DEF,Man City,410,1,7,20,False,2025-08-16T16:30:00Z,50,61558,0,0,0,65,1,11,0,1,1,0,0,2,41,0,0,0,0.00,0.59,0.59,0.35,6,5,1,1,29.2,13.1,8.0,5.0,3.1
Brenden Aaronson,MID,Leeds,350,1,10,9,True,2025-08-18T19:00:00Z,55,6703,0,0,0,23,0,1,0,0,0,0,0,0,10,0,0,0,0.00,0.21,0.21,0.47,2,0,0,2,9.2,24.9,6.0,4.0,1.5
Eliezer Mayenda Dossou,FWD,Sunderland,561,1,5,19,True,2025-08-16T14:00:00Z,55,27150,0,0,0,75,1,8,1,0,1,0,0,2,37,0,0,0,0.09,0.00,0.09,0.33,0,0,0,0,34.0,11.3,26.0,7.1,1.2
Steven Benda,GK,Fulham,315,1,3,6,False,2025-08-16T14:00:00Z,40,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Myles Lewis-Skelly,DEF,Arsenal,10,1,9,14,False,2025-08-17T15:30:00Z,55,399029,0,0,0,18,0,0,0,0,0,0,0,0,-1,1,0,0,0.00,0.00,0.00,0.66,1,1,0,0,0.2,0.0,0.0,0.0,3.8
Hugo Bueno López,DEF,Wolves,633,1,7,13,True,2025-08-16T16:30:00Z,45,7781,0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.01,0.01,0.24,1,1,2,0,4.4,11.1,6.0,2.2,1.4
Milan Aleksić,MID,Sunderland,546,1,5,19,True,2025-08-16T14:00:00Z,50,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,1.0
