id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,total_points,event_points,points_per_game,form,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,price_change_percent,cost_change_event_fall,cost_change_start_fall,status,chance_of_playing_next_round,news,news_added,ep_this,ep_next,team_join_date,birth_date
1,Raya,David,Raya Martín,1,1,60,0,0,6,6,6.0,6.0,90,1,0,0,1,0,0,0,1,0,24,0.00,0.00,0.00,0.20,0,38.1,67668,49228,67668,49228,8.0,0,0,a,,,,4.0,4.0,2024-07-04,1995-09-15
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,222,908,222,908,-45.4,0,0,a,,,,2.6,2.6,2025-07-01,1994-10-03
3,Meslier,Illan,Meslier,1,1,50,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,74,337,74,337,-43.0,0,0,a,,,,2.6,2.6,2026-07-09,2000-03-02
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,80,0,0,5,5,5.0,5.0,90,1,0,0,1,0,1,0,0,0,21,0.05,0.01,0.06,0.20,4,29.4,39969,76930,39969,76930,-4.6,0,0,a,,,,4.0,4.0,2020-09-01,1997-12-19
5,J.Timber,Jurriën,Timber,1,2,65,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.1,298,2278,298,2278,-37.2,0,0,i,0,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0.0,0.0,2023-07-14,2001-06-17
6,Saliba,William,Saliba,1,2,60,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.3,636,5148,636,5148,-34.2,0,0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.0,0.0,2019-07-25,2001-03-24
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,55,0,0,3,3,3.0,3.0,90,1,0,0,1,0,0,0,0,0,15,0.06,0.11,0.17,0.20,7,0.7,6751,5876,6751,5876,0.9,0,0,a,,,,2.0,2.0,2022-12-04,2006-09-26
8,Calafiori,Riccardo,Calafiori,1,2,55,0,0,9,9,9.0,9.0,80,1,0,1,1,0,0,0,0,0,31,0.04,0.09,0.13,0.06,5,41.3,228660,24684,228660,24684,97.9,0,0,a,,,,2.5,2.5,2024-07-29,2002-05-19
9,Hincapie,Piero,Hincapié,1,2,55,0,0,1,1,1.0,1.0,9,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.15,0,1.6,2825,28831,2825,28831,-89.3,0,0,a,,,,2.5,2.5,2026-07-01,2002-01-09
10,White,Benjamin,White,1,2,55,0,0,11,11,11.0,11.0,90,1,0,1,1,0,0,0,0,2,37,0.18,0.21,0.39,0.20,5,5.9,90459,12914,90459,12914,34.0,0,0,a,100,,2026-07-23T12:01:23.305229Z,2.5,2.5,2021-07-30,1997-10-08
11,Mosquera,Cristhian,Mosquera,1,2,55,0,0,6,6,6.0,6.0,90,1,0,0,1,0,0,0,0,0,27,0.00,0.00,0.00,0.20,6,6.0,11142,26319,11142,26319,-10.1,0,0,a,,,,2.5,2.5,2025-07-24,2004-06-27
12,Saka,Bukayo,Saka,1,3,95,0,0,9,9,9.0,9.0,67,1,1,0,1,0,0,0,0,1,36,0.64,0.08,0.72,0.06,7,10.3,60700,18550,60700,18550,15.7,0,0,a,,,,3.2,3.2,2018-11-28,2001-09-05
13,Rice,Declan,Rice,1,3,75,0,0,3,3,3.0,3.0,67,1,0,0,1,0,0,0,0,0,10,0.07,0.08,0.15,0.06,6,17.4,25233,99222,25233,99222,-19.5,0,0,a,,,,2.6,2.6,2023-07-15,1999-01-14
14,Eze,Eberechi,Eze,1,3,65,0,0,1,1,1.0,1.0,14,0,0,0,0,0,0,0,0,0,4,0.04,0.00,0.04,0.15,2,1.9,3812,29671,3812,29671,-75.9,0,0,a,,,,2.3,2.3,2025-08-23,1998-06-29
15,Ødegaard,Martin,Ødegaard,1,3,65,0,0,11,11,11.0,11.0,75,1,1,0,1,0,0,0,0,3,41,0.21,0.10,0.31,0.06,8,10.8,197251,20441,197251,20441,88.7,0,0,a,,,,2.3,2.3,2021-08-20,1998-12-17
16,Madueke,Noni,Madueke,1,3,65,0,0,1,1,1.0,1.0,22,0,0,0,0,0,0,0,0,0,8,0.00,0.04,0.04,0.15,2,0.3,816,5294,816,5294,-78.0,0,0,a,,,,2.3,2.3,2025-07-18,2002-03-10
17,Merino,Mikel,Merino Zazón,1,3,60,0,0,1,1,1.0,1.0,14,0,0,0,0,0,0,0,0,0,5,0.14,0.02,0.16,0.15,2,0.6,1784,11044,1784,11044,-79.6,0,0,a,,,,2.2,2.2,2024-08-27,1996-06-22
18,Martinelli,Gabriel,Martinelli Silva,1,3,64,-1,-1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.2,861,4892,861,4892,-0.5,1,1,a,,,,2.3,2.3,2019-07-15,2001-06-18
