player_id,web_name,team,position,price,selected_by,event,opponent,home,difficulty,xp,start_prob,goals_pts,assists_pts,cs_pts,defcon_pts,bonus_pts,moved_club,override,minutes_reason
1,Raya,ARS,GKP,6.0,37.5,3,CHE,H,4,3.444,0.961,0.001,0.006,1.037,0.0,0.28,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 97% across the season)"
1,Raya,ARS,GKP,6.0,37.5,4,SUN,A,3,3.418,0.961,0.001,0.006,1.011,0.0,0.28,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 97% across the season)"
1,Raya,ARS,GKP,6.0,37.5,5,BHA,A,3,3.418,0.961,0.001,0.006,1.011,0.0,0.28,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 97% across the season)"
1,Raya,ARS,GKP,6.0,37.5,6,LEE,H,2,4.055,0.961,0.001,0.006,1.626,0.0,0.28,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 97% across the season)"
1,Raya,ARS,GKP,6.0,37.5,7,NFO,A,3,3.418,0.961,0.001,0.006,1.011,0.0,0.28,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 97% across the season)"
2,Arrizabalaga,ARS,GKP,5.0,0.1,3,CHE,H,4,0.136,0.039,0.002,0.006,1.037,0.0,0.206,,,"0/2 starts this season, blended with last year's evidence (11% of last 10 GWs started, 3% across the season)"
2,Arrizabalaga,ARS,GKP,5.0,0.1,4,SUN,A,3,0.135,0.039,0.002,0.006,1.011,0.0,0.206,,,"0/2 starts this season, blended with last year's evidence (11% of last 10 GWs started, 3% across the season)"
2,Arrizabalaga,ARS,GKP,5.0,0.1,5,BHA,A,3,0.135,0.039,0.002,0.006,1.011,0.0,0.206,,,"0/2 starts this season, blended with last year's evidence (11% of last 10 GWs started, 3% across the season)"
2,Arrizabalaga,ARS,GKP,5.0,0.1,6,LEE,H,2,0.16,0.039,0.002,0.006,1.626,0.0,0.206,,,"0/2 starts this season, blended with last year's evidence (11% of last 10 GWs started, 3% across the season)"
2,Arrizabalaga,ARS,GKP,5.0,0.1,7,NFO,A,3,0.135,0.039,0.002,0.006,1.011,0.0,0.206,,,"0/2 starts this season, blended with last year's evidence (11% of last 10 GWs started, 3% across the season)"
3,Meslier,ARS,GKP,5.0,0.0,3,CHE,H,4,0.0,0.0,0.003,0.006,1.037,0.0,0.224,yes,,"0/2 starts this season, blended with last year's evidence (0% of last 10 GWs started, 0% across the season)"
3,Meslier,ARS,GKP,5.0,0.0,4,SUN,A,3,0.0,0.0,0.003,0.006,1.011,0.0,0.224,yes,,"0/2 starts this season, blended with last year's evidence (0% of last 10 GWs started, 0% across the season)"
3,Meslier,ARS,GKP,5.0,0.0,5,BHA,A,3,0.0,0.0,0.003,0.006,1.011,0.0,0.224,yes,,"0/2 starts this season, blended with last year's evidence (0% of last 10 GWs started, 0% across the season)"
3,Meslier,ARS,GKP,5.0,0.0,6,LEE,H,2,0.0,0.0,0.003,0.006,1.626,0.0,0.224,yes,,"0/2 starts this season, blended with last year's evidence (0% of last 10 GWs started, 0% across the season)"
3,Meslier,ARS,GKP,5.0,0.0,7,NFO,A,3,0.0,0.0,0.003,0.006,1.011,0.0,0.224,yes,,"0/2 starts this season, blended with last year's evidence (0% of last 10 GWs started, 0% across the season)"
4,Gabriel,ARS,DEF,8.0,25.5,3,CHE,H,4,4.315,0.923,0.523,0.174,1.037,0.755,0.787,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 78% across the season)"
4,Gabriel,ARS,DEF,8.0,25.5,4,SUN,A,3,4.294,0.923,0.523,0.174,1.011,0.755,0.787,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 78% across the season)"
4,Gabriel,ARS,DEF,8.0,25.5,5,BHA,A,3,4.294,0.923,0.523,0.174,1.011,0.755,0.787,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 78% across the season)"
4,Gabriel,ARS,DEF,8.0,25.5,6,LEE,H,2,4.797,0.923,0.523,0.174,1.626,0.755,0.787,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 78% across the season)"
4,Gabriel,ARS,DEF,8.0,25.5,7,NFO,A,3,4.294,0.923,0.523,0.174,1.011,0.755,0.787,,,"2/2 starts this season, blended with last year's evidence (89% of last 10 GWs started, 78% across the season)"
5,J.Timber,ARS,DEF,6.5,0.1,3,CHE,H,4,0.0,0.0,0.845,0.172,1.037,0.185,0.308,,,unavailable (status 'i'): Groin injury - Unknown return date
5,J.Timber,ARS,DEF,6.5,0.1,4,SUN,A,3,0.0,0.0,0.845,0.172,1.011,0.185,0.308,,,unavailable (status 'i'): Groin injury - Unknown return date
5,J.Timber,ARS,DEF,6.5,0.1,5,BHA,A,3,0.0,0.0,0.845,0.172,1.011,0.185,0.308,,,unavailable (status 'i'): Groin injury - Unknown return date
5,J.Timber,ARS,DEF,6.5,0.1,6,LEE,H,2,0.0,0.0,0.845,0.172,1.626,0.185,0.308,,,unavailable (status 'i'): Groin injury - Unknown return date
5,J.Timber,ARS,DEF,6.5,0.1,7,NFO,A,3,0.0,0.0,0.845,0.172,1.011,0.185,0.308,,,unavailable (status 'i'): Groin injury - Unknown return date
6,Saliba,ARS,DEF,6.0,0.2,3,CHE,H,4,0.0,0.0,0.235,0.14,1.037,0.333,0.369,,,unavailable (status 'i'): Back injury - Unknown return date
6,Saliba,ARS,DEF,6.0,0.2,4,SUN,A,3,0.0,0.0,0.235,0.14,1.011,0.333,0.369,,,unavailable (status 'i'): Back injury - Unknown return date
6,Saliba,ARS,DEF,6.0,0.2,5,BHA,A,3,0.0,0.0,0.235,0.14,1.011,0.333,0.369,,,unavailable (status 'i'): Back injury - Unknown return date
6,Saliba,ARS,DEF,6.0,0.2,6,LEE,H,2,0.0,0.0,0.235,0.14,1.626,0.333,0.369,,,unavailable (status 'i'): Back injury - Unknown return date
6,Saliba,ARS,DEF,6.0,0.2,7,NFO,A,3,0.0,0.0,0.235,0.14,1.011,0.333,0.369,,,unavailable (status 'i'): Back injury - Unknown return date
7,Lewis-Skelly,ARS,MID,5.5,0.7,3,CHE,H,4,2.212,0.66,0.489,0.268,0.259,0.056,0.203,,,"2/2 starts this season, blended with last year's evidence (44% of last 10 GWs started, 14% across the season)"
7,Lewis-Skelly,ARS,MID,5.5,0.7,4,SUN,A,3,2.207,0.66,0.489,0.268,0.253,0.056,0.203,,,"2/2 starts this season, blended with last year's evidence (44% of last 10 GWs started, 14% across the season)"
7,Lewis-Skelly,ARS,MID,5.5,0.7,5,BHA,A,3,2.207,0.66,0.489,0.268,0.253,0.056,0.203,,,"2/2 starts this season, blended with last year's evidence (44% of last 10 GWs started, 14% across the season)"
7,Lewis-Skelly,ARS,MID,5.5,0.7,6,LEE,H,2,2.311,0.66,0.489,0.268,0.407,0.056,0.203,,,"2/2 starts this season, blended with last year's evidence (44% of last 10 GWs started, 14% across the season)"
7,Lewis-Skelly,ARS,MID,5.5,0.7,7,NFO,A,3,2.207,0.66,0.489,0.268,0.253,0.056,0.203,,,"2/2 starts this season, blended with last year's evidence (44% of last 10 GWs started, 14% across the season)"
